CPU,SMT enabled,Online CPUs,# Sockets,Cores/Socket,Threads/core,Ncores,NUMA nodes,L2 cache,L3 cache,Power Policy,# Meas,Score,sem,Spread,Score/Ncores,RAM,SWAP,electric_power_mean,electric_power_std,HS23/W,min_score,max_score,first_date,last_date
Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz,1.0,0-39,2.0,10.0,2.0,40.0,2.0,256K,25600K,performance,1.0,280.7,-,-,7.0,-,-,-,-,-,280.7,280.7,2024-01-17T20:03:20Z,2024-01-17T20:03:20Z
AMD EPYC Processor (with IBPB),0.0,0-7,8.0,1.0,1.0,8.0,1.0,512K,8192K,not_available,1.0,72.6,-,-,9.1,-,-,-,-,-,72.6,72.6,2023-07-16T07:07:11Z,2023-07-16T07:07:11Z
AMD EPYC 7501 32-Core Processor,1.0,0-127,2.0,32.0,2.0,128.0,8.0,512K,8192K,performance,1.0,1237.9,-,-,9.7,-,-,-,-,-,1237.9,1237.9,2024-02-21T10:10:54Z,2024-02-21T10:10:54Z
AMD EPYC 7551 32-Core Processor,0.0,0-63,2.0,32.0,1.0,128.0,8.0,32 MiB (64 instances),128 MiB (16 instances),performance,1.0,2074.1,-,-,16.2,-,-,-,-,-,2074.1,2074.1,2025-10-26T03:02:05Z,2025-10-26T03:02:05Z
AMD EPYC 7502 32-Core Processor,1.0,0-127,2.0,32.0,2.0,128.0,2.0,512K,16384K,ondemand,1.0,1593.5,-,-,12.4,-,-,-,-,-,1593.5,1593.5,2023-07-13T01:54:21Z,2023-07-13T01:54:21Z
AMD EPYC 7501 32-Core Processor,0.0,0-63,2.0,32.0,1.0,64.0,8.0,32 MiB (64 instances),128 MiB (16 instances),performance,1.0,846.6,-,-,13.2,-,-,-,-,-,846.6,846.6,2025-10-17T12:22:09Z,2025-10-17T12:22:09Z
AMD EPYC 7402 24-Core Processor,1.0,0-95,2.0,24.0,2.0,96.0,2.0,24 MiB (48 instances),256 MiB (16 instances),conservative,1.0,956.5,-,-,10.0,-,-,-,-,-,956.5,956.5,2025-03-19T21:05:19Z,2025-03-19T21:05:19Z
Intel(R) Xeon(R) CPU E5-2618L v3 @ 2.30GHz,0.0,0-15,2.0,8.0,1.0,16.0,2.0,4 MiB (16 instances),40 MiB (2 instances),performance,2.0,253.0,1.0,1.4,15.8,-,-,-,-,-,252.0,254.1,2025-07-18T22:26:42Z,2025-07-28T11:59:54Z
Intel(R) Xeon(R) CPU E5-2450 0 @ 2.10GHz,1.0,0-31,2.0,8.0,2.0,32.0,2.0,4 MiB (16 instances),40 MiB (2 instances),performance,2.0,236.4,36.2,51.2,7.4,-,-,-,-,-,200.2,272.6,2025-10-08T05:05:14Z,2025-10-15T17:50:56Z
Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0.0,0-39,2.0,20.0,1.0,40.0,4.0,40 MiB (40 instances),55 MiB (2 instances),performance,2.0,763.3,18.5,26.2,19.1,-,-,-,-,-,744.8,781.8,2024-07-07T23:58:22Z,2024-10-25T06:03:12Z
AMD EPYC 7763 64-Core Processor,0.0,0-63,1.0,64.0,1.0,64.0,8.0,32 MiB (64 instances),256 MiB (8 instances),performance,2.0,1776.7,37.4,52.8,27.8,-,-,-,-,-,1739.4,1814.1,2025-06-07T21:44:22Z,2025-06-08T09:46:04Z
Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz,0.0,0-31,2.0,16.0,1.0,32.0,2.0,32 MiB (32 instances),44 MiB (2 instances),,2.0,623.3,12.8,18.2,19.5,-,-,-,-,-,610.5,636.2,2025-10-13T17:45:17Z,2025-10-13T19:00:26Z
Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz,1.0,0-103,2.0,26.0,2.0,104.0,2.0,1024K,36608K,performance,2.0,2104.1,39.8,56.2,20.2,-,-,-,-,-,2064.3,2143.8,2023-08-02T04:00:58Z,2023-08-15T00:30:07Z
Intel(R) Xeon(R) CPU E5-2697 v4 @ 2.30GHz,1.0,0-71,2.0,18.0,2.0,72.0,2.0,256K,46080K,not_available,2.0,699.2,16.8,23.7,9.7,-,-,-,-,-,682.5,716.0,2024-01-29T17:07:36Z,2024-03-22T17:52:29Z
