CPU,SMT enabled,Online CPUs,# Sockets,Cores/Socket,Threads/core,Ncores,NUMA nodes,L2 cache,L3 cache,Power Policy,# Meas,Score,sem,Spread,Score/Ncores,RAM,SWAP,electric_power_mean,electric_power_std,HS23/W,min_score,max_score,first_date,last_date
Intel(R) Xeon(R) Silver 4108 CPU @ 1.80GHz,1.0,0-31,2.0,8.0,2.0,32.0,2.0,1024K,11264K,not_available,5.0,325.3,2.4,5.4,10.2,-,-,-,-,-,316.4,330.7,2023-09-19T23:09:51Z,2024-03-26T03:20:30Z
Intel(R) Xeon(R) Silver 4108 CPU @ 1.80GHz,1.0,0-31,2.0,8.0,2.0,32.0,2.0,16 MiB (16 instances),22 MiB (2 instances),,5.0,339.7,12.2,27.3,10.6,-,-,-,-,-,317.5,382.1,2025-08-24T17:42:57Z,2025-10-29T07:16:09Z
Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz,0.0,0-11,2.0,6.0,1.0,12.0,1.0,3 MiB (12 instances),24 MiB (2 instances),performance,6.0,145.1,1.2,2.9,12.1,-,-,-,-,-,139.9,147.6,2025-06-24T18:41:13Z,2025-10-14T08:12:13Z
Intel(R) Xeon(R) CPU E5-2650L v3 @ 1.80GHz,1.0,0-47,2.0,12.0,2.0,48.0,2.0,6 MiB (24 instances),60 MiB (2 instances),powersave,6.0,375.1,36.4,89.2,7.8,-,-,-,-,-,311.9,551.7,2023-12-28T07:43:06Z,2024-01-12T02:53:35Z
Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1.0,0-31,2.0,8.0,2.0,32.0,2.0,4 MiB (16 instances),40 MiB (2 instances),ondemand,6.0,353.7,15.7,38.5,11.1,-,-,-,-,-,307.0,406.4,2024-09-27T22:38:01Z,2024-10-30T10:32:00Z
Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz,0.0,0-19,2.0,10.0,1.0,20.0,2.0,256K,25600K,conservative,6.0,315.7,2.7,6.5,15.8,-,-,-,-,-,305.2,322.6,2024-05-23T11:22:43Z,2024-07-08T23:07:48Z
Neoverse-N1,0.0,0-15,1.0,16.0,1.0,16.0,1.0,not_available,not_available,not_available,6.0,268.3,2.3,5.7,16.8,-,-,-,-,-,259.3,274.0,2024-11-11T08:39:48Z,2024-12-07T10:58:33Z
AMD EPYC 7313 16-Core Processor,1.0,0-63,2.0,16.0,2.0,64.0,8.0,16 MiB (32 instances),256 MiB (8 instances),not_available,6.0,1634.4,40.4,98.9,25.5,-,-,-,-,-,1523.6,1760.1,2024-08-06T03:01:46Z,2024-12-24T18:26:10Z
Intel(R) Xeon(R) CPU E5-2697 v3 @ 2.60GHz,1.0,0-55,2.0,14.0,2.0,56.0,2.0,256K,35840K,performance,6.0,535.3,7.9,19.3,9.6,-,-,-,-,-,507.0,552.8,2023-12-17T17:17:24Z,2024-07-30T08:11:55Z
AMD EPYC 7542 32-Core Processor,1.0,0-127,2.0,32.0,2.0,128.0,8.0,512K,16384K,performance,6.0,2068.1,79.3,194.3,16.2,-,-,-,-,-,1805.1,2367.7,2024-09-20T23:49:40Z,2024-11-05T19:10:13Z
AMD EPYC 7402 24-Core Processor,0.0,0-47,2.0,24.0,1.0,48.0,2.0,512K,16384K,not_available,6.0,1155.1,17.1,42.0,24.1,-,-,-,-,-,1073.2,1193.4,2023-10-23T12:05:26Z,2024-03-16T03:32:49Z
AMD EPYC 7413 24-Core Processor,1.0,0-95,2.0,24.0,2.0,96.0,2.0,24 MiB (48 instances),256 MiB (8 instances),not_available,6.0,1540.6,74.3,182.0,16.0,-,-,-,-,-,1374.2,1806.1,2024-09-21T05:47:55Z,2024-12-24T12:21:19Z
Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,0.0,0-15,2.0,8.0,1.0,16.0,2.0,256K,20480K,powersave,7.0,210.7,2.7,7.1,13.2,-,-,-,-,-,204.4,224.8,2023-08-08T19:14:33Z,2024-07-14T12:13:44Z
Intel(R) Xeon(R) Gold 5118 CPU @ 2.30GHz,1.0,0-47,2.0,12.0,2.0,48.0,2.0,24 MiB (24 instances),33 MiB (2 instances),not_available,7.0,476.2,8.0,21.3,9.9,-,-,-,-,-,440.8,497.0,2024-06-13T22:22:53Z,2024-12-20T05:35:24Z
INTEL(R) XEON(R) GOLD 6526Y,1.0,0-63,2.0,16.0,2.0,64.0,2.0,64 MiB (32 instances),75 MiB (2 instances),performance,7.0,1348.0,67.5,178.6,21.1,-,-,-,-,-,1190.9,1725.9,2025-09-09T18:47:40Z,2025-10-29T18:47:48Z
AMD EPYC 7413 24-Core Processor,1.0,0-95,2.0,24.0,2.0,96.0,2.0,512K,32768K,not_available,7.0,1568.8,84.5,223.6,16.3,-,-,-,-,-,1146.8,1797.3,2024-07-05T14:23:06Z,2024-09-01T01:50:47Z
Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,1.0,0-55,2.0,14.0,2.0,56.0,1.0,256K,35840K,powersave,7.0,432.6,55.2,146.0,7.7,-,-,-,-,-,309.9,643.8,2023-09-20T17:25:16Z,2024-02-06T14:35:25Z
Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,1.0,0-95,2.0,24.0,2.0,96.0,2.0,48 MiB (48 instances),71.5 MiB (2 instances),performance,7.0,1192.2,30.7,81.3,12.4,-,-,-,-,-,1086.9,1315.3,2024-06-09T03:32:33Z,2025-10-15T10:30:39Z
AMD EPYC 4564P 16-Core Processor,1.0,0-31,1.0,16.0,2.0,32.0,1.0,16 MiB (16 instances),64 MiB (2 instances),performance,7.0,794.3,59.4,157.2,24.8,-,-,-,-,-,552.4,968.3,2025-05-31T12:01:43Z,2025-09-24T00:45:12Z
Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,1.0,0-31,2.0,8.0,2.0,32.0,2.0,4 MiB (16 instances),40 MiB (2 instances),performance,7.0,352.0,3.1,8.1,11.0,-,-,-,-,-,344.3,368.1,2024-08-01T09:43:11Z,2024-09-09T23:58:35Z
Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,0.0,0-19,2.0,10.0,1.0,20.0,1.0,5 MiB (20 instances),50 MiB (2 instances),performance,7.0,253.2,1.2,3.2,12.7,-,-,-,-,-,249.6,258.8,2025-10-27T14:34:46Z,2025-10-30T17:57:45Z
AMD EPYC 7262 8-Core Processor,1.0,0-31,2.0,8.0,2.0,32.0,2.0,512K,16384K,conservative,7.0,727.5,22.6,59.7,22.7,-,-,-,-,-,629.5,799.4,2023-07-15T04:18:17Z,2024-01-23T20:17:53Z
Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0.0,0-39,2.0,20.0,1.0,40.0,2.0,40 MiB (40 instances),55 MiB (2 instances),not_available,7.0,760.4,10.2,27.0,19.0,-,-,-,-,-,735.7,810.8,2024-08-19T21:31:58Z,2024-10-31T07:03:17Z
Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,0.0,0-15,2.0,8.0,1.0,16.0,2.0,4 MiB (16 instances),40 MiB (2 instances),performance,7.0,259.7,11.2,29.5,16.2,-,-,-,-,-,205.8,290.5,2024-09-14T02:10:57Z,2025-10-14T00:40:43Z
Intel(R) Xeon(R) CPU           E5520  @ 2.27GHz,1.0,0-15,2.0,4.0,2.0,16.0,2.0,2 MiB (8 instances),16 MiB (2 instances),performance,8.0,88.1,0.6,1.8,5.5,-,-,-,-,-,85.9,91.2,2024-10-09T14:00:28Z,2024-12-09T16:03:04Z
Intel(R) Xeon(R) Gold 6240R CPU @ 2.40GHz,0.0,0-47,2.0,24.0,1.0,48.0,4.0,1024K,36608K,not_available,8.0,1021.5,17.4,49.2,21.3,-,-,-,-,-,943.0,1091.2,2023-10-26T22:53:14Z,2023-11-19T08:08:11Z
Intel(R) Xeon(R) Gold 6150 CPU @ 2.70GHz,1.0,0-71,2.0,18.0,2.0,72.0,2.0,1024K,25344K,,8.0,853.4,24.5,69.3,11.9,-,-,-,-,-,778.5,998.3,2025-07-08T00:30:09Z,2025-09-26T06:01:38Z
Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,0.0,0-23,2.0,12.0,1.0,24.0,2.0,6 MiB (24 instances),60 MiB (2 instances),performance,8.0,382.3,11.0,31.2,15.9,-,-,-,-,-,309.1,408.4,2024-07-04T05:37:08Z,2025-02-19T11:25:59Z
Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1.0,0-47,2.0,12.0,2.0,48.0,2.0,24 MiB (24 instances),33 MiB (2 instances),not_available,8.0,486.0,9.8,27.8,10.1,-,-,-,-,-,456.4,541.9,2024-10-20T00:57:49Z,2025-02-18T01:52:36Z
AMD EPYC 7513 32-Core Processor,1.0,0-127,2.0,32.0,2.0,128.0,1.0,512K,32768K,conservative,8.0,2073.8,222.6,629.7,16.2,-,-,-,-,-,1521.8,3295.6,2023-11-25T07:11:45Z,2024-05-19T07:45:59Z
Intel(R) Xeon(R) CPU E5-2690 v2 @ 3.00GHz,0.0,0-19,2.0,10.0,1.0,20.0,2.0,5 MiB (20 instances),50 MiB (2 instances),performance,8.0,294.9,2.1,5.9,14.7,-,-,-,-,-,285.7,301.3,2024-08-09T20:00:00Z,2025-10-20T02:38:38Z
Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,0.0,0-27,2.0,14.0,1.0,28.0,2.0,256K,35840K,performance,8.0,425.1,4.5,12.7,15.2,-,-,-,-,-,408.2,442.9,2024-06-14T06:25:27Z,2025-09-30T06:06:47Z
AMD EPYC 7402 24-Core Processor,1.0,0-95,2.0,24.0,2.0,96.0,2.0,24 MiB (48 instances),256 MiB (16 instances),powersave,8.0,992.4,87.4,247.2,10.3,-,-,336.7,106.0,2.9,781.3,1432.7,2025-06-23T10:24:19Z,2025-07-02T09:31:56Z
Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz,1.0,0-23,2.0,6.0,2.0,24.0,2.0,256K,12288K,,9.0,267.7,26.0,78.1,11.2,-,-,-,-,-,152.6,335.6,2025-02-22T14:02:09Z,2025-10-16T23:09:23Z
AMD EPYC 7452 32-Core Processor,0.0,0-63,2.0,32.0,1.0,128.0,2.0,512K,16384K,performance,9.0,2652.5,45.3,136.0,20.7,-,-,-,-,-,2435.6,2824.2,2023-08-10T20:44:56Z,2023-08-14T08:15:12Z
Intel(R) Xeon(R) Gold 6238 CPU @ 2.10GHz,0.0,0-43,2.0,22.0,1.0,44.0,2.0,1024K,30976K,not_available,9.0,806.5,20.0,59.9,18.3,-,-,-,-,-,716.5,870.3,2023-11-13T14:50:03Z,2024-03-21T12:17:47Z
Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,1.0,0-95,2.0,24.0,2.0,96.0,2.0,48 MiB (48 instances),71.5 MiB (2 instances),not_available,9.0,1047.4,40.0,119.9,10.9,-,-,-,-,-,925.6,1337.5,2024-06-03T17:32:02Z,2025-01-05T04:37:04Z
AMD EPYC 7313 16-Core Processor,1.0,0-31,1.0,16.0,2.0,32.0,1.0,8 MiB (16 instances),128 MiB (4 instances),performance,9.0,551.7,24.1,72.4,17.2,-,-,-,-,-,496.1,715.9,2024-11-27T22:18:39Z,2025-08-03T07:21:05Z
Intel(R) Xeon(R) CPU E5-2450 v2 @ 2.50GHz,1.0,0-31,2.0,8.0,2.0,32.0,2.0,4 MiB (16 instances),40 MiB (2 instances),ondemand,9.0,243.3,8.3,24.8,7.6,-,-,-,-,-,223.8,298.5,2024-09-19T10:57:39Z,2024-11-05T04:40:51Z
Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,1.0,0-71,2.0,18.0,2.0,72.0,2.0,45 MiB (36 instances),78 MiB (2 instances),,9.0,1333.4,152.3,456.8,18.5,-,-,-,-,-,798.9,2061.2,2025-04-04T16:14:39Z,2025-08-12T19:40:10Z
Intel(R) Xeon(R) CPU E3-1270 v6 @ 3.80GHz,1.0,0-7,1.0,4.0,2.0,8.0,1.0,1 MiB (4 instances),8 MiB (1 instance),performance,10.0,114.6,1.7,5.4,14.3,-,-,-,-,-,105.4,123.7,2024-09-01T06:54:50Z,2025-04-19T23:34:52Z
Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,0.0,0-31,2.0,16.0,1.0,32.0,2.0,1024K,22528K,powersave,10.0,548.9,18.1,57.1,17.2,-,-,-,-,-,485.3,669.8,2023-12-23T06:28:00Z,2025-07-10T01:26:16Z
Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz,1.0,0-7,1.0,4.0,2.0,8.0,1.0,1024K,8448K,powersave,10.0,125.9,1.0,3.3,15.7,-,-,-,-,-,122.0,132.8,2023-08-18T23:56:24Z,2024-04-28T11:47:55Z
Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz,0.0,0-11,2.0,6.0,1.0,12.0,2.0,256K,12288K,not_available,10.0,139.4,1.2,3.8,11.6,-,-,-,-,-,133.0,143.5,2023-08-14T10:25:41Z,2025-01-30T06:27:17Z
Intel(R) Xeon(R) Gold 5115 CPU @ 2.40GHz,1.0,0-39,2.0,10.0,2.0,40.0,2.0,20 MiB (20 instances),27.5 MiB (2 instances),not_available,10.0,435.1,10.6,33.7,10.9,-,-,-,-,-,380.4,488.1,2024-11-14T12:26:54Z,2025-02-13T18:51:42Z
Intel(R) Xeon(R) CPU E5-2697 v3 @ 2.60GHz,1.0,0-55,2.0,14.0,2.0,56.0,4.0,256K,17920K,performance,10.0,510.2,11.2,35.4,9.1,-,-,-,-,-,465.9,586.9,2023-12-15T21:34:47Z,2024-01-09T16:54:12Z
Intel(R) Xeon(R) Gold 5215 CPU @ 2.50GHz,1.0,0-39,2.0,10.0,2.0,40.0,2.0,20 MiB (20 instances),27.5 MiB (2 instances),not_available,10.0,454.6,10.8,34.1,11.4,-,-,-,-,-,395.3,518.9,2024-11-15T04:23:11Z,2025-01-24T13:43:31Z
Intel(R) Xeon(R) CPU E5-2690 v4 @ 2.60GHz,0.0,0-27,2.0,14.0,1.0,28.0,2.0,256K,35840K,performance,10.0,559.2,6.9,21.7,20.0,-,-,-,-,-,509.7,582.6,2024-05-08T18:58:18Z,2024-07-19T12:17:30Z
Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,1.0,0-15,2.0,4.0,2.0,16.0,2.0,2 MiB (8 instances),24 MiB (2 instances),,11.0,100.3,1.0,3.4,6.3,-,-,-,-,-,90.6,102.5,2025-02-23T09:09:08Z,2025-10-29T12:01:35Z
Intel(R) Xeon(R) Gold 5320 CPU @ 2.20GHz,1.0,0-103,2.0,26.0,2.0,104.0,2.0,1280K,39936K,not_available,11.0,2247.0,26.1,86.5,21.6,-,-,-,-,-,2115.0,2389.4,2024-01-20T03:38:55Z,2024-06-05T18:24:45Z
AMD Opteron(TM) Processor 6234,1.0,0-47,4.0,6.0,2.0,48.0,8.0,48 MiB (24 instances),48 MiB (8 instances),not_available,11.0,289.3,6.1,20.3,6.0,-,-,-,-,-,259.7,321.3,2024-02-05T22:28:32Z,2024-09-06T15:50:24Z
AMD Opteron(TM) Processor 6234,1.0,0-47,4.0,6.0,2.0,48.0,8.0,2048K,6144K,not_available,11.0,250.6,10.5,35.0,5.2,-,-,-,-,-,154.9,278.2,2023-11-09T16:03:06Z,2024-01-24T01:38:55Z
AMD EPYC 7551P 32-Core Processor,0.0,0-31,1.0,32.0,1.0,32.0,4.0,16 MiB (32 instances),64 MiB (8 instances),,11.0,471.6,11.4,37.7,14.7,-,-,-,-,-,412.6,523.9,2025-03-06T12:50:08Z,2025-03-24T08:29:06Z
Intel(R) Xeon(R) Gold 5115 CPU @ 2.40GHz,1.0,0-39,2.0,10.0,2.0,40.0,2.0,20 MiB (20 instances),27.5 MiB (2 instances),performance,11.0,482.9,22.0,73.0,12.1,-,-,-,-,-,383.6,636.3,2025-04-20T09:05:26Z,2025-10-27T16:56:23Z
AMD EPYC 9655 96-Core Processor,0.0,0-191,2.0,96.0,1.0,192.0,8.0,192 MiB (192 instances),768 MiB (24 instances),performance,12.0,6171.3,119.5,413.9,32.1,-,-,-,-,-,5674.8,6970.4,2025-10-13T17:23:13Z,2025-10-16T13:14:31Z
Intel(R) Xeon(R) Gold 6242 CPU @ 2.80GHz,1.0,0-63,2.0,16.0,2.0,64.0,2.0,32 MiB (32 instances),44 MiB (2 instances),not_available,12.0,853.7,20.3,70.2,13.3,-,-,-,-,-,741.9,967.9,2024-06-05T06:07:43Z,2025-02-21T02:08:21Z
Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz,0.0,0-11,2.0,6.0,1.0,12.0,1.0,256K,12288K,not_available,12.0,124.4,1.3,4.5,10.4,-,-,-,-,-,117.2,129.5,2023-11-11T10:21:44Z,2024-12-24T07:20:43Z
AMD EPYC 7742 64-Core Processor,1.0,"0-63,65-255",2.0,64.0,1.0,256.0,8.0,512K,16384K,not_available,12.0,3983.7,98.7,342.0,15.6,-,-,-,-,-,3660.2,4923.7,2024-08-08T03:52:50Z,2024-10-30T04:57:13Z
Intel(R) Xeon(R) Gold 6242 CPU @ 2.80GHz,1.0,0-63,2.0,16.0,2.0,64.0,2.0,1024K,22528K,not_available,12.0,759.3,52.6,182.3,11.9,-,-,-,-,-,605.4,1314.0,2023-09-20T19:41:22Z,2024-04-19T23:06:14Z
Intel(R) Xeon(R) Gold 5118 CPU @ 2.30GHz,0.0,0-23,2.0,12.0,1.0,24.0,2.0,1024K,16896K,powersave,12.0,422.8,5.4,18.8,17.6,-,-,-,-,-,391.7,470.1,2023-10-05T23:31:03Z,2024-04-19T02:10:29Z
AMD EPYC 9654 96-Core Processor,1.0,0-383,2.0,96.0,2.0,384.0,2.0,1024K,32768K,not_available,12.0,7887.0,270.3,936.5,20.5,-,-,-,-,-,6479.7,9479.5,2024-10-30T22:14:01Z,2025-02-18T03:29:32Z
Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,1.0,0-55,2.0,14.0,2.0,56.0,1.0,7 MiB (28 instances),70 MiB (2 instances),performance,13.0,574.3,43.9,158.5,10.3,-,-,-,-,-,308.3,797.8,2024-04-06T18:12:27Z,2025-02-10T11:20:18Z
AMD Opteron(tm) Processor 6376,1.0,0-31,2.0,8.0,2.0,32.0,4.0,32 MiB (16 instances),24 MiB (4 instances),performance,13.0,223.7,5.4,19.4,7.0,-,-,-,-,-,204.0,267.8,2024-11-02T03:10:02Z,2025-08-11T13:11:35Z
Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,0.0,0-19,2.0,10.0,1.0,20.0,2.0,5 MiB (20 instances),50 MiB (2 instances),conservative,13.0,327.5,5.1,18.3,16.4,-,-,178.1,17.0,1.9,297.8,372.2,2024-06-05T09:09:34Z,2025-10-19T19:49:00Z
Intel(R) Xeon(R) Gold 6240R CPU @ 2.40GHz,1.0,0-95,2.0,24.0,2.0,96.0,4.0,48 MiB (48 instances),71.5 MiB (2 instances),not_available,13.0,953.5,44.5,160.5,9.9,-,-,-,-,-,588.2,1093.3,2025-01-22T13:49:59Z,2025-02-21T02:36:39Z
Intel(R) Xeon(R) CPU           X5660  @ 2.80GHz,1.0,0-23,2.0,6.0,2.0,24.0,2.0,256K,12288K,not_available,13.0,174.6,7.9,28.3,7.3,-,-,-,-,-,142.0,236.1,2023-10-12T18:45:46Z,2024-10-26T11:23:18Z
Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz,0.0,0-31,2.0,16.0,1.0,32.0,2.0,32 MiB (32 instances),44 MiB (2 instances),not_available,13.0,620.5,25.6,92.4,19.4,-,-,-,-,-,393.7,764.4,2024-07-11T13:45:54Z,2024-10-29T21:34:50Z
Intel(R) Xeon(R) CPU E5-2690 v2 @ 3.00GHz,0.0,0-19,2.0,10.0,1.0,20.0,2.0,256K,25600K,performance,14.0,285.5,3.4,12.8,14.3,-,-,-,-,-,255.7,302.2,2023-10-30T03:32:54Z,2024-07-15T10:36:57Z
Neoverse-N1,0.0,0-255,2.0,128.0,1.0,256.0,2.0,256 MiB (256 instances),not_available,performance,14.0,3961.9,204.0,763.2,15.5,-,-,-,-,-,1674.5,4695.6,2025-10-15T14:49:14Z,2025-10-17T11:07:04Z
Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,1.0,0-55,2.0,14.0,2.0,56.0,2.0,1024K,19712K,,14.0,547.3,25.7,96.0,9.8,-,-,-,-,-,431.9,811.9,2025-04-17T06:21:43Z,2025-10-15T02:31:47Z
Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz,1.0,0-15,2.0,4.0,2.0,16.0,2.0,2 MiB (8 instances),24 MiB (2 instances),not_available,14.0,88.7,3.8,14.3,5.5,-,-,-,-,-,60.8,108.8,2024-07-11T14:24:26Z,2024-12-08T20:15:14Z
Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,1.0,0-79,2.0,20.0,2.0,80.0,4.0,40 MiB (40 instances),55 MiB (2 instances),performance,14.0,956.8,63.9,239.2,12.0,-,-,513.3,9.1,1.8,664.2,1437.4,2024-06-12T01:19:27Z,2025-10-13T05:06:38Z
Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,0.0,0-15,2.0,8.0,1.0,16.0,2.0,256K,20480K,powersave,15.0,188.6,1.8,7.1,11.8,-,-,-,-,-,178.4,202.1,2024-05-02T17:29:06Z,2024-07-17T16:04:30Z
Intel(R) Xeon(R) CPU E5-2660 v2 @ 2.20GHz,1.0,0-39,2.0,10.0,2.0,40.0,2.0,256K,25600K,performance,15.0,302.9,9.8,37.9,7.6,-,-,-,-,-,255.3,381.5,2024-01-18T02:45:33Z,2024-08-29T01:00:00Z
Intel(R) Xeon(R) Gold 6238 CPU @ 2.10GHz,0.0,0-43,2.0,22.0,1.0,44.0,2.0,1024K,30976K,powersave,15.0,807.3,16.8,65.2,18.3,-,-,-,-,-,713.8,953.9,2023-11-23T19:23:19Z,2024-03-18T08:41:20Z
AMD EPYC 7352 24-Core Processor,1.0,0-47,1.0,24.0,2.0,48.0,1.0,12 MiB (24 instances),128 MiB (8 instances),performance,15.0,767.6,24.7,95.6,16.0,-,-,-,-,-,689.0,1047.4,2024-12-24T07:02:05Z,2025-10-26T06:33:04Z
AMD Opteron(TM) Processor 6238,1.0,0-23,2.0,6.0,2.0,24.0,4.0,2048K,6144K,conservative,15.0,157.6,2.1,8.1,6.6,-,-,-,-,-,148.6,181.8,2023-09-30T19:38:48Z,2025-09-23T17:50:29Z
Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz,1.0,0-23,2.0,6.0,2.0,24.0,2.0,3 MiB (12 instances),24 MiB (2 instances),not_available,15.0,189.4,4.9,18.8,7.9,-,-,-,-,-,168.1,226.7,2024-10-22T15:44:40Z,2024-12-10T02:08:20Z
Intel(R) Xeon(R) Gold 5320 CPU @ 2.20GHz,0.0,0-51,2.0,26.0,1.0,52.0,2.0,65 MiB (52 instances),78 MiB (2 instances),not_available,15.0,1192.4,9.8,37.8,22.9,-,-,-,-,-,1118.4,1251.4,2024-04-24T18:38:49Z,2024-12-24T17:52:01Z
Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,1.0,0-47,2.0,12.0,2.0,48.0,2.0,256K,30720K,performance,16.0,526.0,17.5,70.0,11.0,-,-,-,-,-,396.8,675.7,2023-08-09T17:37:10Z,2024-01-20T21:37:36Z
AMD EPYC 9124 16-Core Processor,1.0,0-63,2.0,16.0,2.0,64.0,2.0,32 MiB (32 instances),128 MiB (8 instances),performance,16.0,1520.6,95.1,380.5,23.8,-,-,-,-,-,984.6,2081.6,2025-03-29T11:20:45Z,2025-09-28T03:08:39Z
Intel(R) Xeon(R) CPU E5-2670 v3 @ 2.30GHz,1.0,0-47,2.0,12.0,2.0,48.0,2.0,256K,30720K,powersave,16.0,510.3,14.5,57.9,10.6,-,-,-,-,-,406.9,606.9,2023-09-12T02:24:38Z,2025-09-08T13:58:20Z
AMD Opteron(tm) Processor 6378,1.0,0-63,4.0,8.0,2.0,64.0,8.0,2048K,6144K,not_available,16.0,437.3,7.6,30.3,6.8,-,-,-,-,-,371.7,479.3,2023-08-18T12:26:25Z,2023-10-23T16:07:08Z
AMD EPYC 7282 16-Core Processor,0.0,0-31,2.0,16.0,1.0,32.0,2.0,512K,16384K,conservative,16.0,707.5,4.4,17.5,22.1,-,-,-,-,-,664.8,739.6,2023-07-13T07:46:30Z,2024-05-17T14:59:58Z
AMD EPYC 75F3 32-Core Processor,1.0,0-63,1.0,32.0,2.0,64.0,1.0,16 MiB (32 instances),256 MiB (8 instances),performance,16.0,1374.1,91.5,366.0,21.5,-,-,-,-,-,1053.2,2102.7,2024-12-23T23:28:28Z,2025-10-28T14:41:53Z
Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,1.0,0-95,2.0,24.0,2.0,96.0,2.0,48 MiB (48 instances),71.5 MiB (2 instances),,16.0,1054.2,35.7,142.9,11.0,-,-,-,-,-,734.7,1379.0,2025-03-18T05:17:17Z,2025-10-30T07:10:28Z
Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,0.0,0-47,2.0,24.0,1.0,48.0,2.0,48 MiB (48 instances),71.5 MiB (2 instances),performance,16.0,968.2,36.7,146.8,20.2,-,-,-,-,-,758.3,1243.6,2024-06-28T06:08:04Z,2024-10-31T09:00:00Z
AMD EPYC 7443 24-Core Processor,1.0,0-95,2.0,24.0,2.0,96.0,2.0,512K,32768K,ondemand,17.0,1753.6,62.4,257.2,18.3,-,-,-,-,-,1395.2,2356.6,2023-10-11T21:40:18Z,2024-11-02T11:40:52Z
AMD EPYC 7502 32-Core Processor,0.0,0-63,2.0,32.0,1.0,64.0,8.0,512K,16384K,,17.0,1418.8,16.8,69.4,22.2,-,-,-,-,-,1293.8,1521.4,2025-07-18T13:07:01Z,2025-10-24T01:32:15Z
AMD EPYC 9334 32-Core Processor,1.0,0-127,2.0,32.0,2.0,128.0,8.0,64 MiB (64 instances),256 MiB (8 instances),,17.0,2415.2,58.0,239.2,18.9,-,-,-,-,-,2118.6,2917.5,2025-03-01T10:27:31Z,2025-10-30T17:59:14Z
Intel(R) Xeon(R) Gold 5118 CPU @ 2.30GHz,1.0,0-47,2.0,12.0,2.0,48.0,2.0,1024K,16896K,not_available,17.0,567.7,30.5,125.9,11.8,-,-,-,-,-,438.5,845.4,2023-08-08T14:32:45Z,2024-05-11T22:27:15Z
Intel(R) Xeon(R) CPU E3-1270 v6 @ 3.80GHz,1.0,0-7,1.0,4.0,2.0,8.0,1.0,256K,8192K,powersave,17.0,119.6,0.6,2.4,14.9,-,-,-,-,-,115.6,124.4,2023-08-10T18:54:49Z,2024-06-04T17:47:49Z
Intel(R) Xeon(R) Silver 4214R CPU @ 2.40GHz,1.0,0-47,2.0,12.0,2.0,48.0,2.0,24 MiB (24 instances),33 MiB (2 instances),not_available,17.0,536.0,14.9,61.5,11.2,-,-,-,-,-,372.8,675.8,2024-10-18T06:31:40Z,2025-02-05T19:57:34Z
AMD EPYC 7713P 64-Core Processor,1.0,0-127,1.0,64.0,2.0,128.0,4.0,32 MiB (64 instances),256 MiB (8 instances),,17.0,1634.4,66.4,273.8,12.8,-,-,-,-,-,1306.2,2262.7,2025-04-16T17:52:52Z,2025-10-18T13:00:36Z
Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,0.0,0-15,2.0,8.0,1.0,16.0,2.0,16 MiB (16 instances),22 MiB (2 instances),performance,18.0,280.5,7.4,31.2,17.5,-,-,-,-,-,204.1,305.8,2024-08-07T07:54:17Z,2025-10-14T13:00:14Z
Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,0.0,0-27,2.0,14.0,1.0,28.0,1.0,7 MiB (28 instances),70 MiB (2 instances),performance,18.0,430.0,3.5,14.8,15.4,-,-,-,-,-,407.7,451.1,2025-10-19T23:03:48Z,2025-10-30T02:01:26Z
